"id"	"famille"	1808	"Noble"	"Citoyen"	"famille.12e.siecle"
"407"	"dalla nave"	"0"	"1"	"1"	"0"
"408"	"nicola"	"1"	"1"	"1"	"0"
"409"	"obizzo"	"0"	"1"	"0"	"0"
"410"	"odescalchi"	"0"	"1"	"0"	"0"
"411"	"ogniben"	"0"	"1"	"1"	"0"
"412"	"olivieri"	"1"	"1"	"1"	"0"
"413"	"onoradi"	"0"	"1"	"1"	"0"
"414"	"ordelaffi"	"0"	"1"	"0"	"0"
"415"	"orio"	"1"	"1"	"1"	"1"
"416"	"orsini"	"1"	"1"	"1"	"0"
"417"	"orso"	"0"	"1"	"1"	"1"
"418"	"dall'orzo"	"0"	"1"	"0"	"0"
"419"	"ottoboni"	"1"	"1"	"1"	"0"
"420"	"pagani"	"NA"	"1"	"0"	"0"
"421"	"pallavicino"	"0"	"1"	"0"	"0"
"422"	"pamphili"	"0"	"1"	"0"	"0"
"423"	"pantaleone"	"0"	"1"	"0"	"0"
"424"	"papacizza"	"0"	"1"	"0"	"0"
"425"	"papafava"	"1"	"1"	"0"	"0"
"426"	"paruta"	"1"	"1"	"1"	"0"
"427"	"pasqualigo"	"1"	"1"	"1"	"0"
"428"	"pasquasi"	"0"	"1"	"0"	"0"
"429"	"passamonte"	"0"	"1"	"0"	"0"
"430"	"pasta"	"1"	"1"	"0"	"0"
"431"	"patani"	"0"	"1"	"0"	"0"
"432"	"pecin"	"0"	"1"	"0"	"0"
"433"	"pellizzari"	"1"	"1"	"1"	"0"
"434"	"pellizzioli"	"0"	"1"	"0"	"0"
"435"	"pentolo"	"0"	"1"	"0"	"0"
"436"	"pepoli"	"1"	"1"	"0"	"0"
"437"	"peretti"	"0"	"1"	"0"	"0"
"438"	"persico"	"1"	"1"	"1"	"0"
"439"	"pesaro"	"1"	"1"	"0"	"0"
"440"	"pianigo"	"0"	"1"	"0"	"0"
"441"	"pico"	"1"	"1"	"0"	"0"
"442"	"piero"	"1"	"1"	"1"	"0"
"443"	"pio"	"1"	"1"	"0"	"0"
"444"	"piovene"	"1"	"1"	"0"	"0"
"445"	"pisani"	"1"	"1"	"1"	"0"
"446"	"pizzamano"	"1"	"1"	"0"	"0"
"447"	"polani"	"0"	"1"	"0"	"1"
"448"	"polenta"	"0"	"1"	"0"	"0"
"449"	"poli"	"1"	"1"	"0"	"0"
"450"	"polini"	"0"	"1"	"0"	"0"
"451"	"polo"	"0"	"1"	"1"	"0"
"452"	"polvaro"	"0"	"1"	"1"	"0"
"453"	"da ponte"	"0"	"1"	"1"	"1"
"454"	"da"	"1"	"1"	"0"	"0"
"455"	"porto"	"1"	"1"	"1"	"0"
"456"	"premarin"	"0"	"1"	"0"	"0"
"457"	"priuli"	"1"	"1"	"1"	"0"
"458"	"de proti"	"0"	"1"	"0"	"0"
"459"	"querini"	"1"	"1"	"1"	"1"
"460"	"quintavalle"	"0"	"1"	"0"	"0"
"461"	"raimondo"	"0"	"1"	"1"	"0"
"462"	"rainoldo"	"0"	"1"	"0"	"0"
"463"	"ramponi"	"0"	"1"	"0"	"0"
"464"	"ranoso"	"0"	"1"	"1"	"0"
"465"	"raspi"	"1"	"1"	"1"	"0"
"466"	"rava"	"0"	"1"	"0"	"0"
"467"	"ravagnini"	"0"	"1"	"0"	"0"
"468"	"ravalazzo"	"0"	"1"	"0"	"0"
"469"	"recanati zucconi"	"0"	"1"	"0"	"0"
"470"	"regini"	"0"	"1"	"1"	"1"
"471"	"renier"	"1"	"1"	"0"	"0"
"472"	"de resti"	"0"	"1"	"0"	"0"
"473"	"rezzonico"	"1"	"1"	"0"	"0"
"474"	"riario"	"0"	"1"	"0"	"0"
"475"	"ricci"	"0"	"1"	"0"	"0"
"476"	"de richelieu"	"0"	"1"	"0"	"0"
"477"	"da riva"	"0"	"1"	"0"	"0"
"478"	"robolini"	"0"	"1"	"0"	"0"
"479"	"romano"	"1"	"1"	"0"	"0"
"480"	"romieri"	"1"	"1"	"0"	"0"
"481"	"rospigliosi"	"0"	"1"	"0"	"0"
"482"	"rossi"	"1"	"1"	"1"	"0"
"483"	"rota"	"1"	"1"	"1"	"0"
"484"	"dalla rovere"	"0"	"1"	"0"	"0"
"485"	"rubini"	"1"	"1"	"1"	"0"
"486"	"ruggieri"	"0"	"1"	"0"	"0"
"487"	"ruzzini"	"1"	"1"	"0"	"0"
"488"	"sabadini"	"0"	"1"	"1"	"0"
"489"	"sagredo"	"1"	"1"	"0"	"0"
"490"	"salomon"	"0"	"1"	"0"	"0"
"491"	"salonesi"	"0"	"1"	"0"	"0"
"492"	"salviani"	"0"	"1"	"0"	"0"
"493"	"sandi"	"1"	"1"	"0"	"0"
"494"	"sangiantoffetti"	"1"	"1"	"0"	"0"
"495"	"sanseverin"	"0"	"1"	"0"	"0"
"496"	"santasofia"	"0"	"1"	"0"	"0"
"497"	"sanudo (candiano)"	"0"	"1"	"0"	"1"
"498"	"savelli"	"0"	"1"	"0"	"0"
"499"	"saviani"	"0"	"1"	"0"	"0"
"500"	"savoia"	"0"	"1"	"0"	"0"
"501"	"savonieri"	"0"	"1"	"0"	"0"
"502"	"savorgnan"	"1"	"1"	"0"	"0"
"503"	"dalla scala"	"0"	"1"	"0"	"0"
"504"	"scaudoler"	"0"	"1"	"0"	"0"
"505"	"scenier"	"0"	"1"	"0"	"0"
"506"	"scroffa"	"0"	"1"	"0"	"0"
"507"	"scrovegni"	"0"	"1"	"0"	"0"
"508"	"selvo"	"0"	"1"	"0"	"0"
"509"	"semenzi"	"1"	"1"	"0"	"0"
"510"	"semitecolo"	"1"	"1"	"0"	"1"
"511"	"senatori"	"0"	"1"	"0"	"0"
"512"	"sesendoli"	"0"	"1"	"0"	"0"
"513"	"sfondrati"	"0"	"1"	"0"	"0"
"514"	"sforza"	"0"	"1"	"1"	"0"
"515"	"signoli"	"0"	"1"	"1"	"0"
"516"	"sincoran"	"0"	"1"	"0"	"0"
"517"	"siocolo"	"0"	"1"	"0"	"0"
"518"	"secogolo"	"0"	"1"	"0"	"0"
"519"	"scogolo"	"0"	"1"	"0"	"0"
